id,target_id,sale_date,amount,created_at,updated_at
83,7,2025-04-15,24137.0,2025-04-24 12:33:52.886120,2025-04-24 12:33:52.886120
84,7,2025-04-16,18609.0,2025-04-24 12:34:08.230407,2025-04-24 12:34:08.230407
85,7,2025-04-17,11132.0,2025-04-24 12:40:31.547460,2025-04-24 12:40:31.547460
86,7,2025-04-18,15198.0,2025-04-24 12:40:44.955777,2025-04-24 12:40:44.955777
87,7,2025-04-19,24253.0,2025-04-24 12:41:15.652787,2025-04-24 12:41:15.652787
88,7,2025-04-20,23175.0,2025-04-24 12:43:46.901183,2025-04-24 12:43:46.901183
89,7,2025-04-21,10598.0,2025-04-24 12:47:50.948409,2025-04-24 12:47:50.948409
90,7,2025-04-22,17028.0,2025-04-24 12:48:01.874500,2025-04-24 12:48:01.874500
91,7,2025-04-23,14921.0,2025-04-24 12:48:18.905030,2025-04-24 12:48:18.905030
92,9,2025-04-01,1314.0,2025-04-27 15:52:15.780084,2025-04-27 15:52:15.780091
93,9,2025-04-02,4522.0,2025-04-27 15:58:50.863420,2025-04-27 15:59:00.974518
94,9,2025-04-03,6002.0,2025-04-27 16:01:37.259788,2025-04-27 16:01:37.259793
95,9,2025-04-04,5268.0,2025-04-27 16:01:49.145487,2025-04-27 16:01:49.145494
96,9,2025-04-05,7335.0,2025-04-27 16:02:00.163653,2025-04-27 16:02:00.163660
97,9,2025-04-06,4195.0,2025-04-27 16:02:15.398443,2025-04-27 16:02:15.398449
98,9,2025-04-07,5353.0,2025-04-27 16:02:26.757681,2025-04-27 16:02:26.757687
99,9,2025-04-08,7184.0,2025-04-27 16:02:33.950367,2025-04-27 16:02:33.950375
100,9,2025-04-09,5466.0,2025-04-27 16:02:42.192878,2025-04-27 16:02:42.192885
101,9,2025-04-10,4118.0,2025-04-27 16:02:55.457126,2025-04-27 16:02:55.457134
