user_id,permission_id
2,1
2,11
2,27
2,48
2,26
2,43
2,54
2,42
2,45
2,18
2,46
2,51
2,47
2,25
2,41
2,23
2,39
2,53
2,10
2,40
2,29
2,37
2,36
2,22
2,20
2,52
2,55
2,6
2,16
2,21
2,56
2,35
1,50
1,20
1,9
1,10
1,24
1,25
1,34
1,52
1,21
1,33
1,16
1,32
1,49
1,42
1,29
1,38
1,31
1,30
1,43
1,15
1,45
1,7
1,11
1,53
1,14
1,46
1,47
1,54
1,44
1,13
1,48
1,41
1,39
1,1
1,2
1,12
1,4
1,3
1,22
1,35
1,6
1,18
1,28
1,51
1,17
1,19
1,55
1,27
1,26
1,37
1,56
1,23
1,40
1,36
1,8
1,5
2,30
3,18
3,40
3,20
3,21
3,25
3,26
3,39
3,27
3,41
3,1
3,29
3,42
3,47
3,46
3,6
3,36
3,31
3,48
3,30
3,45
3,43
3,51
3,16
3,35
3,34
3,54
4,30
4,18
4,27
4,16
4,36
4,37
4,35
4,20
4,45
4,51
4,26
4,25
4,42
4,32
4,41
4,31
4,29
4,46
4,47
4,21
4,48
4,54
4,1
4,39
4,17
4,6
3,11
1,59
1,61
1,65
1,57
1,62
1,63
1,64
1,60
1,58
4,11
2,49
2,67
2,66
