id,club_id,facility_id,facility_item_id,is_active
526,16,11,89,True
527,16,11,90,True
528,16,11,91,True
529,16,11,92,True
530,16,11,93,True
531,16,11,94,True
532,16,11,95,True
533,16,11,96,True
534,16,11,97,True
535,16,11,98,True
536,16,13,109,True
537,16,13,110,True
538,35,9,114,True
539,35,9,115,True
540,35,9,116,False
541,2,2,27,True
542,2,2,28,True
543,2,2,29,True
544,2,2,30,True
545,2,2,31,True
546,2,2,32,True
547,2,2,33,True
548,2,2,34,True
549,2,2,35,True
550,2,2,36,True
551,2,2,37,True
552,2,2,38,True
553,2,2,39,True
554,2,2,40,True
555,2,2,41,True
