id,check_id,facility_id,facility_item_id,is_compliant,notes
1,1,1,1,True,
2,1,1,2,True,
3,1,1,3,False,
4,1,1,4,True,
5,1,1,5,True,
6,1,1,7,True,
7,1,1,8,True,
8,1,1,9,False,
9,1,1,10,True,
10,1,1,11,False,
11,1,1,12,True,
12,1,1,13,True,
13,1,1,14,True,
14,1,1,15,True,
15,1,1,16,True,
16,1,1,17,True,
17,1,1,18,True,
18,1,1,19,True,
19,1,1,20,True,
20,1,1,22,True,
21,1,1,23,True,
22,1,1,24,False,
23,1,1,25,True,
24,1,1,26,True,
25,1,3,42,True,
26,1,3,43,True,
27,1,3,44,True,
28,1,3,45,True,
29,1,3,46,True,
30,1,3,47,True,
31,1,3,48,False,
32,1,3,49,True,
33,1,3,50,False,
34,1,3,51,True,
35,1,3,52,False,
36,1,3,53,True,
37,1,3,54,False,
38,1,3,55,True,
39,1,3,56,True,
40,1,3,57,True,
41,1,3,58,True,
42,1,4,60,True,
43,1,4,61,True,
44,1,5,63,True,
45,1,5,64,True,
46,1,5,65,False,
47,1,6,66,True,
48,1,6,67,True,
49,1,6,68,True,
50,1,8,71,False,
51,1,8,72,True,
52,1,8,73,True,
53,1,10,77,True,
54,1,10,79,True,
55,1,10,80,True,
56,1,10,81,False,
57,1,10,82,True,
58,1,10,83,True,
59,1,10,84,True,
60,1,10,85,True,
61,2,1,1,True,
62,2,1,2,False,لا يوجد
63,2,1,3,True,
64,2,1,4,False,
65,2,1,5,False,2222222222
66,2,1,6,True,
67,2,1,7,True,
68,2,1,8,True,
69,2,1,9,True,
70,2,1,10,True,
71,2,1,11,True,
72,2,1,12,True,
73,2,1,13,True,
74,2,1,14,True,
75,2,1,15,True,
76,2,1,16,True,
77,2,1,17,False,
78,2,1,18,True,
79,2,1,19,True,
80,2,1,20,True,
81,2,1,21,True,
82,2,1,22,True,
83,2,1,23,True,
84,2,1,24,True,
85,2,1,25,True,
86,2,1,26,False,
87,2,2,27,True,
88,2,2,28,True,
89,2,2,29,True,
90,2,2,30,True,
91,2,2,31,True,
92,2,2,32,True,
93,2,2,33,True,
94,2,2,34,True,
95,2,2,35,True,
96,2,2,36,True,
97,2,2,37,True,
98,2,2,38,True,
99,2,2,39,True,
100,2,2,40,True,
101,2,2,41,True,
102,2,3,42,True,
103,2,3,43,True,
104,2,3,44,True,
105,2,3,45,False,
106,2,3,46,False,
107,2,3,47,True,
108,2,3,48,True,
109,2,3,49,True,
110,2,3,50,True,
111,2,3,51,False,
112,2,3,52,False,باابلابيابا
113,2,3,53,True,
114,2,3,54,True,
115,2,3,55,True,
116,2,3,56,True,
117,2,3,57,True,
118,2,3,58,True,
119,2,3,59,True,
120,2,4,60,True,
121,2,4,61,True,
122,2,4,62,True,
123,2,5,64,True,
124,2,5,65,True,
125,2,6,67,True,
126,2,6,68,True,
127,2,7,69,True,
128,2,8,71,True,
129,2,8,73,True,
130,2,9,74,True,
131,2,9,75,True,
132,2,9,76,True,
133,2,10,77,True,
134,2,10,78,True,
135,2,10,79,True,
136,2,10,80,True,
137,2,10,81,True,
138,2,10,82,True,
139,2,10,83,True,
140,2,10,84,True,
141,2,10,85,True,
142,2,11,86,True,
143,2,11,87,True,
144,2,11,88,True,
145,2,11,89,False,
146,2,11,90,True,
147,2,11,91,False,
148,2,11,92,True,
149,2,11,93,False,
150,2,11,94,True,
151,2,11,95,True,
152,2,11,96,True,
153,2,11,97,True,
154,2,11,98,False,
155,2,13,109,False,
156,2,13,110,True,
157,1,1,6,False,
158,1,1,21,False,
159,1,3,59,False,
160,1,4,62,False,
161,1,10,78,True,
162,2,5,63,False,
163,2,6,66,False,
164,2,7,70,False,
165,2,8,72,False,
166,3,1,4,True,
167,3,1,6,True,
168,3,1,7,True,
169,3,1,8,True,
170,3,1,10,True,
171,3,1,11,True,
172,3,1,12,True,
173,3,1,13,True,
174,3,1,14,True,
175,3,1,15,True,
176,3,1,16,True,
177,3,1,18,True,
178,3,1,19,True,
179,3,1,21,True,
180,3,1,22,True,
181,3,1,23,True,
182,3,1,24,True,
183,3,1,26,True,
184,3,2,27,True,
185,3,2,28,True,
186,3,2,29,True,
187,3,2,30,True,
188,3,2,31,True,
189,3,2,32,True,
190,3,2,33,True,
191,3,2,34,True,
192,3,2,35,True,
193,3,2,37,True,
194,3,2,38,True,
195,3,2,39,True,
196,3,2,40,True,
197,3,2,41,True,
198,3,3,42,True,
199,3,3,43,True,
200,3,3,44,True,
201,3,3,45,True,
202,3,3,46,True,
203,3,3,48,True,
204,3,3,49,True,
205,3,3,50,True,
206,3,3,51,True,
207,3,3,52,True,
208,3,3,53,True,
209,3,3,54,True,
210,3,3,55,True,
211,3,3,57,True,
212,3,3,58,True,
213,3,3,59,True,
214,3,4,60,True,
215,3,4,61,True,
216,3,5,63,True,
217,3,5,64,True,
218,3,5,65,True,
219,3,6,66,True,
220,3,6,67,True,
221,3,6,68,True,
222,3,7,69,True,
223,3,7,70,True,
224,3,8,71,True,
225,3,8,72,True,
226,3,9,74,True,
227,3,9,75,True,
228,3,9,76,True,
229,3,10,77,True,
230,3,10,78,True,
231,3,10,79,True,
232,3,10,80,True,
233,3,10,81,True,
234,3,10,82,True,
235,3,10,83,True,
236,3,10,84,True,
237,3,11,86,True,
238,3,11,88,True,
239,3,11,89,True,
240,3,11,91,True,
241,3,11,92,True,
242,3,11,93,True,
243,3,11,95,True,
244,3,11,96,True,
245,3,11,98,True,
246,3,12,99,True,
247,3,12,100,True,
248,3,12,101,True,
249,4,1,1,True,
250,4,1,2,True,
251,4,1,3,True,
252,4,1,4,True,
253,4,1,5,True,
254,4,1,6,True,
255,4,1,7,True,
256,4,1,8,True,
257,4,1,9,True,
258,4,1,10,True,
259,4,1,11,True,
260,4,1,12,True,
261,4,1,13,True,
262,4,1,14,True,
263,4,1,15,True,
264,4,1,16,True,
265,4,1,17,True,
266,4,1,18,True,
267,4,1,19,True,
268,4,1,20,True,
269,4,1,21,True,
270,4,1,22,True,
271,4,1,23,True,
272,4,1,24,True,
273,4,1,25,True,
274,4,1,26,True,
275,4,2,27,True,
276,4,2,28,True,
277,4,2,29,True,
278,4,2,30,True,
279,4,2,31,True,
280,4,2,32,True,
281,4,2,33,True,
282,4,2,34,True,
283,4,2,35,True,
284,4,2,36,True,
285,4,2,37,True,
286,4,2,38,True,
287,4,2,39,True,
288,4,2,40,True,
289,4,2,41,True,
290,4,3,42,True,
291,4,3,43,True,
292,4,3,44,True,
293,4,3,45,True,
294,4,3,46,True,
295,4,3,47,True,
296,4,3,48,True,
297,4,3,49,True,
298,4,3,50,True,
299,4,3,51,True,
300,4,3,52,True,
301,4,3,53,True,
302,4,3,54,True,
303,4,3,55,True,
304,4,3,56,True,
305,4,3,57,True,
306,4,3,58,True,
307,4,3,59,True,
308,4,4,60,True,
309,4,4,61,True,
310,4,4,62,True,
311,4,5,63,True,
312,4,5,64,True,
313,4,5,65,True,
314,4,6,66,True,
315,4,6,67,True,
316,4,6,68,True,
317,4,7,69,True,
318,4,7,70,True,
319,4,8,71,True,
320,4,8,72,True,
321,4,8,73,True,
322,4,9,74,True,
323,4,9,75,True,
324,4,9,76,True,
325,4,10,77,True,
326,4,10,78,True,
327,4,10,79,True,
328,4,10,80,True,
329,4,10,81,True,
330,4,10,82,True,
331,4,10,83,True,
332,4,10,84,True,
333,4,10,85,True,
334,4,11,86,True,
335,4,11,87,True,
336,4,11,88,True,
337,4,11,89,True,
338,4,11,90,True,
339,4,11,91,True,
340,4,11,92,True,
341,4,11,93,True,
342,4,11,94,True,
343,4,11,95,True,
344,4,11,96,True,
345,4,11,97,True,
346,4,11,98,True,
347,4,13,109,True,
348,4,13,110,True,
349,5,1,1,True,
350,5,1,2,True,
351,5,1,3,True,
352,5,1,4,True,
353,5,1,7,True,
354,5,1,11,True,
355,5,1,13,True,
356,5,1,15,True,
357,5,1,17,True,
358,5,1,18,True,
359,5,1,22,True,
360,5,1,23,True,
361,5,1,24,True,
362,5,1,25,True,
363,5,1,26,True,
364,5,2,28,True,
365,5,2,29,True,
366,5,2,31,True,
367,5,2,33,True,
368,5,2,34,True,
369,5,2,35,True,
370,5,2,37,True,
371,5,2,39,True,
372,5,2,40,True,
373,5,2,41,True,
374,5,3,42,True,
375,5,3,44,True,
376,5,3,46,True,
377,5,3,47,True,
378,5,3,49,True,
379,5,3,51,True,
380,5,3,52,True,
381,5,3,54,True,
382,5,3,55,True,
383,5,3,56,True,
384,5,3,57,True,
385,5,3,58,True,
386,5,3,59,True,
387,5,5,63,True,
388,5,5,64,True,
389,5,5,65,True,
390,5,6,66,True,
391,5,6,67,True,
392,5,6,68,True,
393,5,8,71,True,
394,5,8,72,True,
395,5,8,73,True,
396,5,9,114,True,
397,5,9,115,True,
398,5,10,77,True,
399,5,10,78,True,
400,5,10,80,True,
401,5,10,81,True,
402,5,11,86,True,
403,5,11,88,True,
404,5,11,89,True,
405,5,11,91,True,
406,5,11,92,True,
407,5,11,93,True,
408,5,11,95,True,
409,5,11,97,True,
410,5,11,98,True,
411,5,1,5,False,111222
412,5,1,6,False,145578فغت
413,5,1,8,False,يفتقخ7ح7خهغع
414,5,1,9,False,
415,5,1,10,False,
416,5,1,12,False,
417,5,1,14,False,
418,5,1,16,False,
419,5,1,19,False,
420,5,1,20,False,
421,5,1,21,False,
422,5,2,27,False,
423,5,2,30,False,
424,5,2,32,False,
425,5,2,36,False,
426,5,2,38,False,
427,5,3,43,False,
428,5,3,45,False,
429,5,3,48,False,
430,5,3,50,False,
431,5,3,53,False,
432,5,9,116,False,
433,5,10,79,False,
434,5,10,82,False,
435,5,10,83,False,
436,5,10,84,False,
437,5,10,85,False,
438,5,11,87,False,
439,5,11,90,False,
440,5,11,94,False,
441,5,11,96,False,
442,3,1,1,False,
443,3,1,2,False,
444,3,1,3,False,
445,3,1,5,False,
446,3,1,9,False,
447,3,1,17,False,
448,3,1,20,False,
449,3,1,25,False,
450,3,2,36,False,
451,3,3,47,False,
452,3,3,56,False,
453,3,4,62,False,
454,3,8,73,False,
455,3,9,114,False,
456,3,9,115,False,
457,3,9,116,False,
458,3,10,85,False,
459,3,11,87,False,
460,3,11,90,False,
461,3,11,94,False,
462,3,11,97,False,
463,6,1,1,True,
464,6,1,2,True,
465,6,1,3,True,
466,6,1,4,True,
467,6,1,5,True,
468,6,1,6,True,
469,6,1,7,True,
470,6,1,8,True,
471,6,1,9,True,
472,6,1,10,True,
473,6,1,11,True,
474,6,1,12,True,
475,6,1,13,True,
476,6,1,14,True,
477,6,1,15,True,
478,6,1,16,True,
479,6,1,17,True,
480,6,1,18,True,
481,6,1,19,True,
482,6,1,20,True,
483,6,1,21,True,
484,6,1,22,True,
485,6,1,23,True,
486,6,1,24,True,
487,6,1,25,True,
488,6,1,26,True,
489,6,2,27,True,
490,6,2,28,True,
491,6,2,29,True,
492,6,2,30,True,
493,6,2,31,True,
494,6,2,32,True,
495,6,2,33,True,
496,6,2,34,True,
497,6,2,35,True,
498,6,2,36,True,
499,6,2,37,True,
500,6,2,38,True,
501,6,2,39,True,
502,6,2,40,True,
503,6,2,41,True,
504,6,3,42,True,
505,6,3,43,True,
506,6,3,44,True,
507,6,3,45,True,
508,6,3,46,True,
509,6,3,47,True,
510,6,3,48,True,
511,6,3,49,True,
512,6,3,50,True,
513,6,3,51,True,
514,6,3,52,True,
515,6,3,53,True,
516,6,3,54,True,
517,6,3,55,True,
518,6,3,56,True,
519,6,3,57,True,
520,6,3,58,True,
521,6,3,59,False,
522,6,4,60,True,
523,6,4,61,True,
524,6,4,62,True,
525,6,5,63,True,
526,6,5,64,True,
527,6,5,65,True,
528,6,6,66,True,
529,6,6,67,False,
530,6,6,68,True,
531,6,8,71,True,
532,6,8,72,True,
533,6,8,73,True,
534,6,10,77,True,
535,6,10,78,True,
536,6,10,79,True,
537,6,10,80,True,
538,6,10,81,True,
539,6,10,82,True,
540,6,10,83,True,
541,6,10,84,True,
542,6,10,85,True,
543,1,2,27,False,
544,1,2,28,False,
545,1,2,29,True,
546,1,2,30,True,
547,1,2,31,True,
548,1,2,32,True,
549,1,2,33,True,
550,1,2,34,True,
551,1,2,35,True,
552,1,2,36,True,
553,1,2,37,False,
554,1,2,38,True,
555,1,2,39,True,
556,1,2,40,True,
557,1,2,41,True,
