id,club_id,month,target_amount,created_at,updated_at,online_sales,personal_training_sales
5,19,2025-04,2127500.0,2025-04-22 12:37:04.809094,2025-04-22 22:40:29.428393,194570.0,97417.0
6,16,2025-04,1610000.0,2025-04-23 13:06:33.649012,2025-04-23 13:28:03.396869,141894.0,53340.0
7,13,2025-04,874000.0,2025-04-24 12:22:50.980737,2025-04-24 12:50:38.452181,81816.0,30871.0
8,13,2025-03,874000.0,2025-04-24 12:54:30.325866,2025-04-24 12:54:30.325866,0.0,0.0
9,35,2025-04,299000.0,2025-04-27 15:48:28.876760,2025-04-27 16:01:03.943809,13031.0,28910.0
